year,filename,grvar,grupo,subvar,variable
2001,2001_clasificacion-general-sistemica_enfermedades-del-sistema-nervioso.csv,00,clasificacion general sistemica,01,enfermedades del sistema nervioso
2001,2001_clasificacion-general-sistemica_enfermedades-del-ojo-y-anexos.csv,00,clasificacion general sistemica,02,enfermedades del ojo y anexos
2001,2001_clasificacion-general-sistemica_enfermedades-del-oido-y-apofisis-mastoides.csv,00,clasificacion general sistemica,03,enfermedades del oido y apofisis mastoides
2001,2001_clasificacion-general-sistemica_enfermedades-del-sistema-cardio-circulatorio.csv,00,clasificacion general sistemica,04,enfermedades del sistema cardio circulatorio
2001,2001_clasificacion-general-sistemica_enfermedades-del-sistema-respiratorio.csv,00,clasificacion general sistemica,05,enfermedades del sistema respiratorio
2001,2001_clasificacion-general-sistemica_enfermedades-del-sistema-digestivo.csv,00,clasificacion general sistemica,06,enfermedades del sistema digestivo
2001,2001_clasificacion-general-sistemica_enfermedades-del-sistema-genitourinario.csv,00,clasificacion general sistemica,07,enfermedades del sistema genitourinario
2001,2001_clasificacion-general-sistemica_enfermedades-de-piel-y-celular-subcutanea.csv,00,clasificacion general sistemica,08,enfermedades de piel y celular subcutanea
2001,2001_clasificacion-general-sistemica_enfermedades-endocrinas-nutricionales-metabolicas.csv,00,clasificacion general sistemica,09,enfermedades endocrinas - nutricionales - metabolicas
2001,2001_clasificacion-general-sistemica_enfermedades-sistema-osteomuscular-y-tejido-conjuntivo.csv,00,clasificacion general sistemica,10,enfermedades sistema osteomuscular y tejido conjuntivo
2001,2001_clasificacion-general-sistemica_enfermedades-de-la-sangre-y-transtornos-inmunitarios.csv,00,clasificacion general sistemica,11,enfermedades de la sangre y transtornos inmunitarios
2001,2001_clasificacion-general-sistemica_enfermedades-tumorales.csv,00,clasificacion general sistemica,12,enfermedades tumorales
2001,2001_clasificacion-general-sistemica_complicaciones-embarazo-parto-y-puerperio.csv,00,clasificacion general sistemica,13,"complicaciones embarazo, parto y puerperio"
2001,2001_clasificacion-general-sistemica_malformaciones-congenitas.csv,00,clasificacion general sistemica,14,malformaciones congenitas
2001,2001_clasificacion-general-sistemica_traumatismos-y-envenenamiento.csv,00,clasificacion general sistemica,15,traumatismos y envenenamiento
2001,2001_clasificacion-general-sistemica_transtornos-mentales-y-del-comportamiento.csv,00,clasificacion general sistemica,16,transtornos mentales y del comportamiento
2001,2001_clasificacion-general-sistemica_otras-causas.csv,00,clasificacion general sistemica,17,otras causas
2001,2001_sospecha-diagnostica_sarampion.csv,01,sospecha diagnostica,01,sarampion
2001,2001_sospecha-diagnostica_rubeola.csv,01,sospecha diagnostica,02,rubeola
2001,2001_sospecha-diagnostica_tosferina.csv,01,sospecha diagnostica,03,tosferina
2001,2001_sospecha-diagnostica_difteria.csv,01,sospecha diagnostica,04,difteria
2001,2001_sospecha-diagnostica_fiebre-amarilla.csv,01,sospecha diagnostica,06,fiebre amarilla
2001,2001_sospecha-diagnostica_dengue-hemorragico.csv,01,sospecha diagnostica,07,dengue hemorragico
2001,2001_sospecha-diagnostica_poliomielitis.csv,01,sospecha diagnostica,09,poliomielitis
2001,2001_sospecha-diagnostica_fiebre-hemorragica.csv,02,sospecha diagnostica,09,fiebre hemorragica
2001,2001_sospecha-diagnostica_tifus-exantematico.csv,02,sospecha diagnostica,10,tifus exantematico
2001,2001_sospecha-diagnostica_peste.csv,02,sospecha diagnostica,11,peste
2001,2001_sospecha-diagnostica_meningitis-meningococcica.csv,02,sospecha diagnostica,12,meningitis meningococcica
2001,2001_sospecha-diagnostica_colera.csv,02,sospecha diagnostica,13,colera
2001,2001_sospecha-diagnostica_hantavirus.csv,02,sospecha diagnostica,14,hantavirus
2001,2001_sospecha-diagnostica_rabia-humana-canina.csv,02,sospecha diagnostica,15,rabia (humana/canina)
2001,2001_sospecha-diagnostica_sida-mujeres.csv,02,sospecha diagnostica,16,sida mujeres
2001,2001_sospecha-diagnostica_sida-hombres.csv,02,sospecha diagnostica,17,sida hombres
2001,2001_sospecha-diagnostica_sifilis.csv,02,sospecha diagnostica,18,sifilis
2001,2001_sospecha-diagnostica_meningitis-por-hemophilus-influenzae.csv,02,sospecha diagnostica,19,meningitis por hemophilus influenzae
2001,2001_sospecha-diagnostica_meningitis-tuberculosa.csv,02,sospecha diagnostica,20,meningitis tuberculosa
2001,2001_inmunoprevenibles_tetanos-neonatal.csv,04,inmunoprevenibles,01,tetanos neonatal
2001,2001_inmunoprevenibles_tetanos-de-adulto.csv,04,inmunoprevenibles,02,tetanos de adulto
2001,2001_inmunoprevenibles_hepatitis-viral.csv,04,inmunoprevenibles,03,hepatitis viral
2001,2001_inmunoprevenibles_eruptivas.csv,04,inmunoprevenibles,05,eruptivas
2001,2001_inmunoprevenibles_paralisis-flacida.csv,04,inmunoprevenibles,06,paralisis flacida
2001,2001_inmunoprevenibles_rabia-canina.csv,04,inmunoprevenibles,07,rabia canina
2001,2001_inmunoprevenibles_tosferina-3.csv,04,inmunoprevenibles,08,tosferina (3*)
2001,2001_inmunoprevenibles_difteria-4.csv,04,inmunoprevenibles,09,difteria (4*)
