grvar,subvar,variable,desde,hasta,filename,nombre_comun
0,1,enfermedades del sistema nervioso,2001,2003,0_1_enfermedades-del-sistema-nervioso_2001_2003.csv,Enfermedades del sistema nervioso entre 2001 y 2003
0,2,enfermedades del ojo y anexos,2001,2003,0_2_enfermedades-del-ojo-y-anexos_2001_2003.csv,Enfermedades del ojo y anexos entre 2001 y 2003
0,3,enfermedades del oido y apofisis mastoides,2001,2003,0_3_enfermedades-del-oido-y-apofisis-mastoides_2001_2003.csv,Enfermedades del oido y apofisis mastoides entre 2001 y 2003
0,4,enfermedades del sistema cardio circulatorio,2001,2003,0_4_enfermedades-del-sistema-cardio-circulatorio_2001_2003.csv,Enfermedades del sistema cardio circulatorio entre 2001 y 2003
0,5,enfermedades del sistema respiratorio,2001,2003,0_5_enfermedades-del-sistema-respiratorio_2001_2003.csv,Enfermedades del sistema respiratorio entre 2001 y 2003
0,6,enfermedades del sistema digestivo,2001,2003,0_6_enfermedades-del-sistema-digestivo_2001_2003.csv,Enfermedades del sistema digestivo entre 2001 y 2003
0,7,enfermedades del sistema genitourinario,2001,2003,0_7_enfermedades-del-sistema-genitourinario_2001_2003.csv,Enfermedades del sistema genitourinario entre 2001 y 2003
0,8,enfermedades de piel y celular subcutanea,2001,2003,0_8_enfermedades-de-piel-y-celular-subcutanea_2001_2003.csv,Enfermedades de piel y celular subcutanea entre 2001 y 2003
0,9,enfermedades endocrinas - nutricionales - metabolicas,2001,2003,0_9_enfermedades-endocrinas-nutricionales-metabolicas_2001_2003.csv,Enfermedades endocrinas - nutricionales - metabolicas entre 2001 y 2003
0,10,enfermedades sistema osteomuscular y tejido conjuntivo,2001,2003,0_10_enfermedades-sistema-osteomuscular-y-tejido-conjuntivo_2001_2003.csv,Enfermedades sistema osteomuscular y tejido conjuntivo entre 2001 y 2003
0,11,enfermedades de la sangre y transtornos inmunitarios,2001,2003,0_11_enfermedades-de-la-sangre-y-transtornos-inmunitarios_2001_2003.csv,Enfermedades de la sangre y transtornos inmunitarios entre 2001 y 2003
0,12,enfermedades tumorales,2001,2003,0_12_enfermedades-tumorales_2001_2003.csv,Enfermedades tumorales entre 2001 y 2003
