codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
60302,CARAPARI,desnutricion cronica,talla baja grave (g),2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
60101,TARIJA,desnutricion cronica,talla baja grave (g),2005-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja grave (g),2005-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
30801,CLIZA,desnutricion cronica,talla baja grave (g),2005-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja grave (g),2005-05-01,3.0,2.0,1.0,0.0,4.0,2.0,6.0
80201,RIBERALTA,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
30702,SANTIVAÑES,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
60101,TARIJA,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
70102,COTOCA,desnutricion cronica,talla baja grave (g),2005-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
70105,EL TORNO,desnutricion cronica,talla baja grave (g),2005-06-01,0.0,1.0,3.0,2.0,3.0,3.0,6.0
40101,ORURO,desnutricion cronica,talla baja grave (g),2005-06-01,2.0,1.0,0.0,1.0,2.0,2.0,4.0
31404,TACACHI,desnutricion cronica,talla baja grave (g),2005-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2005-07-01,1.0,2.0,0.0,1.0,1.0,3.0,4.0
50701,SACACA,desnutricion cronica,talla baja grave (g),2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,0.0,2.0,2.0,2.0,2.0,4.0
80102,SAN JAVIER(BNI),desnutricion cronica,talla baja grave (g),2005-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
50401,COLQUECHACA,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
70102,COTOCA,desnutricion cronica,talla baja grave (g),2005-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
70105,EL TORNO,desnutricion cronica,talla baja grave (g),2005-09-01,2.0,1.0,1.0,0.0,3.0,1.0,4.0
70104,LA GUARDIA,desnutricion cronica,talla baja grave (g),2005-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2005-09-01,2.0,2.0,2.0,2.0,4.0,4.0,8.0
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2005-10-01,1.0,0.0,0.0,4.0,1.0,4.0,5.0
80702,SAN RAMON,desnutricion cronica,talla baja grave (g),2005-10-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2005-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2005-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2005-11-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2005-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
31205,PUERTO VILLARROEL,desnutricion cronica,talla baja grave (g),2005-12-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2005-12-01,2.0,3.0,4.0,3.0,6.0,6.0,12.0
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2005-12-01,10.0,0.0,0.0,1.0,10.0,1.0,11.0
