codigo_municipio,municipio,grupo,variable,mes,cantidad,mujeres total
20201,ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
30201,AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,35,35
20202,ANCORAIMES,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,10,10
41201,ANDAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
20701,APOLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,21,21
30601,ARQUE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,5,5
71501,ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,33,33
50802,ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,11,11
20502,AYATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
21303,AYO AYO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
30301,AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
21203,BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
60202,BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,44,44
50301,BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
70401,BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
70703,CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,12,12
20905,CAIROMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,8,8
21304,CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
10701,CAMARGO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
70706,CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,27,27
40102,CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
22001,CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,38,38
40201,CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,46,46
70702,CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
50202,CHAYANTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
31204,CHIMORE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,54,54
21101,CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,19,19
30801,CLIZA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,63,63
90101,COBIJA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,17,17
30101,COCHABAMBA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,485,485
40902,COIPASA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
30905,COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,46,46
31002,COLOMI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,50,50
21306,COLQUENCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
21004,COLQUIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,10,10
71301,COMARAPA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,6,6
71101,CONCEPCION,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,29,29
21701,COPACABANA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,5,5
20301,CORO CORO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
21401,COROICO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
50601,COTAGAITA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
70102,COTOCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,6,6
70704,CUEVO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
10902,CULPINA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
21602,CURVA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
20804,DESAGUADERO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
20105,EL ALTO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,484,484
70105,EL TORNO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,5,5
10405,EL VILLAR,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
60601,ENTRE RIOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
71004,FERNANDEZ ALONSO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
90203,FILADELFIA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
21601,GRAL. J.J. PEREZ (CHARAZANI),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
