codigo_municipio,municipio,grupo,variable,mes,mujeres total
20201,ACHACACHI,intoxicaciones,organosfosforados,2003-01-01,2
51102,"CAIZA ""D""",intoxicaciones,organosfosforados,2003-01-01,1
70706,CAMIRI,intoxicaciones,organosfosforados,2003-01-01,1
30701,CAPINOTA,intoxicaciones,organosfosforados,2003-01-01,1
30801,CLIZA,intoxicaciones,organosfosforados,2003-01-01,7
30101,COCHABAMBA,intoxicaciones,organosfosforados,2003-01-01,6
31002,COLOMI,intoxicaciones,organosfosforados,2003-01-01,1
21701,COPACABANA,intoxicaciones,organosfosforados,2003-01-01,3
70704,CUEVO,intoxicaciones,organosfosforados,2003-01-01,1
20804,DESAGUADERO,intoxicaciones,organosfosforados,2003-01-01,1
20105,EL ALTO,intoxicaciones,organosfosforados,2003-01-01,41
20602,GUANAY,intoxicaciones,organosfosforados,2003-01-01,4
10502,HUACARETA,intoxicaciones,organosfosforados,2003-01-01,1
21102,IRUPANA (VILLA DE LANZA),intoxicaciones,organosfosforados,2003-01-01,1
20101,LA PAZ,intoxicaciones,organosfosforados,2003-01-01,46
50203,LLALLAGUA,intoxicaciones,organosfosforados,2003-01-01,1
20901,LURIBAY,intoxicaciones,organosfosforados,2003-01-01,1
70903,MAIRANA,intoxicaciones,organosfosforados,2003-01-01,1
31301,MIZQUE,intoxicaciones,organosfosforados,2003-01-01,3
40101,ORURO,intoxicaciones,organosfosforados,2003-01-01,6
31203,POCONA,intoxicaciones,organosfosforados,2003-01-01,1
31202,POJO (CBBA),intoxicaciones,organosfosforados,2003-01-01,1
50101,POTOSI,intoxicaciones,organosfosforados,2003-01-01,9
21204,PUERTO PEREZ,intoxicaciones,organosfosforados,2003-01-01,1
31205,PUERTO VILLARROEL,intoxicaciones,organosfosforados,2003-01-01,11
51101,PUNA,intoxicaciones,organosfosforados,2003-01-01,1
30901,QUILLACOLLO,intoxicaciones,organosfosforados,2003-01-01,4
31001,SACABA,intoxicaciones,organosfosforados,2003-01-01,1
71302,SAIPINA,intoxicaciones,organosfosforados,2003-01-01,1
70901,SAMAIPATA,intoxicaciones,organosfosforados,2003-01-01,3
30902,SIPE SIPE,intoxicaciones,organosfosforados,2003-01-01,1
20603,TACACOMA,intoxicaciones,organosfosforados,2003-01-01,2
60101,TARIJA,intoxicaciones,organosfosforados,2003-01-01,20
