codigo_municipio,municipio,grupo,variable,mes,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
20101,LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,2,0,1,0,3,3
50101,POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
31401,PUNATA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,1,0,0,0,1,1
80301,REYES,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
31001,SACABA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
10702,SAN LUCAS,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
80401,SANTA ANA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
31601,TIRAQUE (CBBA),mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
50502,TORO TORO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
41301,TOTORA(ORR),mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
20201,ACHACACHI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,1,0,1,0,1
22001,CARANAVI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,1,0,0,0,1,0,1
20105,EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,2,0,0,0,2,2
20101,LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,1,0,0,0,1,1
71001,MONTERO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,1,0,0,0,1,1
30901,QUILLACOLLO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
50402,RAVELO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
31001,SACABA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
31003,VILLA TUNARI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
21004,COLQUIRI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,0,1,0,1,0,1
50203,LLALLAGUA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,1,0,0,0,1,1
