codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,total
71501,ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa,2015-01-01,3,0,3
70706,CAMIRI,salud sexual y reproductiva,preeclampsia severa,2015-01-01,4,0,4
60302,CARAPARI,salud sexual y reproductiva,preeclampsia severa,2015-01-01,0,1,1
90101,COBIJA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,4,0,4
30101,COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,12,0,12
71106,CUATRO CAÑADAS,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,1,2
20105,EL ALTO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,10,0,10
70105,EL TORNO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,0,1
20101,LA PAZ,salud sexual y reproductiva,preeclampsia severa,2015-01-01,34,0,34
71001,MONTERO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,4,0,4
40101,ORURO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,22,1,23
50101,POTOSI,salud sexual y reproductiva,preeclampsia severa,2015-01-01,3,0,3
31401,PUNATA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,2,0,2
80201,RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,9,3,12
70503,ROBORE,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,0,1
80304,RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,0,1
40901,SABAYA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,0,1
31001,SACABA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,3,1,4
80501,SAN IGNACIO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,2,0,2
70301,SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2015-01-01,5,0,5
71201,SAN MATIAS,salud sexual y reproductiva,preeclampsia severa,2015-01-01,1,1,2
80401,SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2015-01-01,2,0,2
