codigo_municipio,municipio,grupo,variable,mes,Cantidad-H,Cantidad-M,TOTAL-H,TOTAL-M,TOTAL
20201,ACHACACHI,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
20202,ANCORAIMES,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
41201,ANDAMARCA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
50301,BETANZOS,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,2,0,2,2
10701,CAMARGO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,2,0,2,0,2
22001,CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,2,0,2,2
40302,CHOQUE COTA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,2,0,2,2
30101,COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,11,0,11,0,11
21401,COROICO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
40301,CORQUE,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,3,0,3,3
20105,EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,5,0,5,0,5
80202,GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
10703,INCAHUASI,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
70104,LA GUARDIA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
20101,LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,12,1,12,1,13
50203,LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,1,1,1,2
71001,MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,3,0,3,0,3
40101,ORURO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,8,0,8,0,8
50101,POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,8,0,8,0,8
20401,PUERTO ACOSTA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,2,0,2,2
31401,PUNATA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
30901,QUILLACOLLO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
31001,SACABA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
71104,SAN JULIAN,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,18,0,18,0,18
10101,SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,6,1,6,1,7
10601,TARABUCO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,5,0,5,5
60101,TARIJA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,1,1,1,2
20803,TIAWANACU,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
31601,TIRAQUE (CBBA),mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,1,1,1,2
30802,TOCO,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
80101,TRINIDAD,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
50201,UNCIA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,4,0,4,4
51201,UYUNI,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,0,1,0,1,1
51501,VILLAZON,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,2,1,2,1,3
60301,YACUIBA,mortalidad institucional,muerte rn menor de 7 dias,2004-01-01,1,0,1,0,1
51302,ACACIO,mortalidad institucional,muerte rn menor de 7 dias,2004-02-01,0,1,0,1,1
20201,ACHACACHI,mortalidad institucional,muerte rn menor de 7 dias,2004-02-01,0,2,0,2,2
