codigo_municipio,municipio,grupo,variable,mes,hombres cantidad,mujeres cantidad,hombres total,mujeres total,total
50301,BETANZOS,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,3,0,3,3
10701,CAMARGO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,2,0,2,0,2
22001,CARANAVI,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,2,1,2,3
40302,CHOQUE COTA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
30101,COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,6,0,6,0,6
20301,CORO CORO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
21401,COROICO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,7,4,7,4,11
10405,EL VILLAR,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
10703,INCAHUASI,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
20101,LA PAZ,mortalidad institucional,muerte menor de 1 ano,2004-01-01,12,2,12,2,14
71003,MINEROS,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,1,1,1,2
31301,MIZQUE,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,2,0,2,2
10501,MONTEAGUDO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,1,1,1,2
71001,MONTERO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
50404,OCURI,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,1,0,1,1
10401,PADILLA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,0,1,0,1
21104,PALOS BLANCOS,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,2,0,2,2
50101,POTOSI,mortalidad institucional,muerte menor de 1 ano,2004-01-01,9,0,9,0,9
20401,PUERTO ACOSTA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,3,0,3,3
31001,SACABA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,0,1,0,1
21502,SAN BUENA VENTURA,mortalidad institucional,muerte menor de 1 ano,2004-01-01,2,0,2,0,2
70301,SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,1,0,1,0,1
10101,SUCRE,mortalidad institucional,muerte menor de 1 ano,2004-01-01,9,1,9,1,10
10601,TARABUCO,mortalidad institucional,muerte menor de 1 ano,2004-01-01,0,6,0,6,6
