codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
51302,ACACIO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,51,0,51,51
20201,ACHACACHI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,22,3,22,25
20104,ACHOCALLA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,1,3,1,4
30201,AIQUILE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,4,1,4,5
31303,ALALAY,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,1,1,1,2
10404,ALCALA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,22,0,22,22
20202,ANCORAIMES,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,36,0,36,36
41201,ANDAMARCA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,0,1,0,1
40603,ANTEQUERA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,0,1,0,1
30402,ANZALDO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,5,0,5,5
20701,APOLO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,2,3,2,5
51301,ARAMPAMPA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,48,0,48,48
30501,ARANI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,8,0,8,8
30403,ARBIETO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,4,0,4,4
30601,ARQUE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,4,2,4,2,6
50802,ATOCHA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,7,1,7,8
20503,AUCAPATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,10,0,10,10
20502,AYATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,5,0,5,0,5
21303,AYO AYO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,7,4,7,4,11
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,23,30,23,30,53
10201,AZURDUY,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,33,1,33,34
21203,BATALLAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,13,0,13,13
80802,BAURES,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,5,9,5,9,14
50104,BELEN DE URMIRI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
60202,BERMEJO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,5,0,5,5
50301,BETANZOS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,9,160,9,160,169
31501,BOLIVAR,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,40,37,40,37,77
90103,BOLPEBRA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
70707,BOYUIBE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,16,0,16,16
70401,BUENA VISTA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,10,13,10,13,23
70703,CABEZAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,11,0,11,11
20905,CAIROMA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,14,0,14,14
51102,"CAIZA ""D""",estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,29,2,29,31
21003,CAJUATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,3,3,3,6
21304,CALAMARCA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,4,1,4,5
10701,CAMARGO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,41,0,41,41
10901,CAMATAQUI (C. VILLA ABECIA),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,10,0,10,10
70706,CAMIRI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,42,46,42,46,88
30701,CAPINOTA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,20,10,20,10,30
20302,CAQUIAVIRI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,15,2,15,17
40102,CARACOLLO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,4,1,4,5
22001,CARANAVI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,17,27,17,27,44
60302,CARAPARI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,6,4,6,4,10
50702,CARIPUYO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,44,0,44,44
21902,CATACORA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,3,0,3,3
40201,CHALLAPATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,16,17,16,17,33
50302,CHAQUI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,32,0,32,32
70702,CHARAGUA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,81,0,81,81
31204,CHIMORE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,7,9,7,9,16
21101,CHULUMANI (V. DE LA LIBERTAD),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,4,2,4,6
30801,CLIZA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,8,1,8,9
90101,COBIJA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,25,12,25,12,37
30101,COCHABAMBA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,70,62,70,62,132
30905,COLCAPIRHUA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,20,20,20,20,40
50901,"COLCHA ""K""",estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,17,0,17,17
31002,COLOMI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,5,6,5,6,11
50401,COLQUECHACA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,10,22,10,22,32
21306,COLQUENCHA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,1,3,1,4
21004,COLQUIRI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,16,11,16,11,27
20304,COMANCHE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,3,2,3,5
71301,COMARAPA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,4,10,4,10,14
20605,COMBAYA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,13,0,13,13
71101,CONCEPCION,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,12,0,12,12
21701,COPACABANA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,1,0,1,1
21402,CORIPATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
20301,CORO CORO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,6,10,6,10,16
21401,COROICO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,6,2,6,2,8
40301,CORQUE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,5,6,5,6,11
50601,COTAGAITA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,43,3,43,46
70102,COTOCA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,8,10,8,10,18
31405,CUCHUMUELA (V. G. VILLARROEL),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,3,0,3,3
70704,CUEVO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,9,4,9,4,13
10902,CULPINA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,61,2,61,63
40401,CURAHUARA DE CARANGAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,1,3,1,4
21602,CURVA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,1,2,1,3
20804,DESAGUADERO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,5,0,5,5
20105,EL ALTO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,359,325,359,325,684
40103,EL CHORO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,0,1,0,1
71503,EL PUENTE(STC),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,25,1,25,26
60502,EL PUENTE(TJA),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
70105,EL TORNO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,14,21,14,21,35
10405,EL VILLAR,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,48,0,48,48
60601,ENTRE RIOS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,9,10,9,10,19
41101,EUCALIPTUS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
80402,EXALTACION,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,10,3,10,13
90203,FILADELFIA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
71002,GENERAL SAAVEDRA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,19,56,19,56,75
21601,GRAL. J.J. PEREZ (CHARAZANI),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,2,1,2,3
20602,GUANAY,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,35,0,35,35
20802,GUAQUI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,2,0,2,2
80202,GUAYARAMERIN,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,18,10,18,10,28
70705,GUTIERREZ,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,9,90,9,90,99
10502,HUACARETA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,56,2,56,58
11002,HUACAYA (VILLA DE HUACAYA),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,6,0,6,6
40501,HUACHACALLA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,1,0,1,1
40701,HUANUNI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,3,2,3,5
21005,ICHOCA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,3,1,3,4
10304,ICLA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,97,114,97,114,211
10703,INCAHUASI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,32,1,32,33
21001,INQUISIVI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,23,1,23,24
21102,IRUPANA (VILLA DE LANZA),estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,8,0,8,8
21501,IXIAMAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,5,3,5,8
21105,LA ASUNTA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,10,12,10,12,22
70104,LA GUARDIA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,9,21,9,21,30
20101,LA PAZ,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,172,161,172,161,333
70701,LAGUNILLAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,17,17,17,17,34
21202,LAJA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,5,0,5,5
10903,LAS CARRERAS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,8,0,8,8
51401,LLICA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,1,7,1,7,8
80601,LORETO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,1,0,1,1
20901,LURIBAY,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,6,0,6,6
40702,MACHACAMARCA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,10,1,10,1,11
11003,MACHARETI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,40,3,40,43
80801,MAGDALENA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,6,3,6,9
70903,MAIRANA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,6,8,6,8,14
20103,MECAPACA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,6,0,6,6
71003,MINEROS,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,7,72,7,72,79
31301,MIZQUE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,2,11,2,11,13
20402,MOCOMOCO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,3,0,3,3
51002,MOJINETE,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,0,1,0,1,1
10303,MOJOCOYA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,25,14,25,14,39
10501,MONTEAGUDO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,7,47,7,47,54
71001,MONTERO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,3,142,3,142,145
70803,MORO MORO,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,6,1,6,1,7
30302,MOROCHATA,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,4,9,4,9,13
50404,OCURI,estado nutricional en menores de 5 anos,clasificacion e,2002-01-01,15,23,15,23,38
