codigo_municipio,municipio,grupo,variable,mes,mujeres total
71501,ASCENCION DE GUARAYOS,intoxicaciones,drogas,2003-01-01,3
70706,CAMIRI,intoxicaciones,drogas,2003-01-01,1
40201,CHALLAPATA,intoxicaciones,drogas,2003-01-01,1
90101,COBIJA,intoxicaciones,drogas,2003-01-01,3
30101,COCHABAMBA,intoxicaciones,drogas,2003-01-01,5
20105,EL ALTO,intoxicaciones,drogas,2003-01-01,12
10405,EL VILLAR,intoxicaciones,drogas,2003-01-01,1
10502,HUACARETA,intoxicaciones,drogas,2003-01-01,2
20101,LA PAZ,intoxicaciones,drogas,2003-01-01,15
71001,MONTERO,intoxicaciones,drogas,2003-01-01,1
40101,ORURO,intoxicaciones,drogas,2003-01-01,8
21104,PALOS BLANCOS,intoxicaciones,drogas,2003-01-01,2
70601,PORTACHUELO,intoxicaciones,drogas,2003-01-01,1
50101,POTOSI,intoxicaciones,drogas,2003-01-01,3
30901,QUILLACOLLO,intoxicaciones,drogas,2003-01-01,2
70901,SAMAIPATA,intoxicaciones,drogas,2003-01-01,1
80302,SAN BORJA,intoxicaciones,drogas,2003-01-01,3
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,drogas,2003-01-01,15
70602,SANTA ROSA DEL SARA,intoxicaciones,drogas,2003-01-01,1
10101,SUCRE,intoxicaciones,drogas,2003-01-01,6
30401,TARATA,intoxicaciones,drogas,2003-01-01,1
60101,TARIJA,intoxicaciones,drogas,2003-01-01,7
50801,TUPIZA,intoxicaciones,drogas,2003-01-01,1
20801,VIACHA,intoxicaciones,drogas,2003-01-01,1
51501,VILLAZON,intoxicaciones,drogas,2003-01-01,2
70201,WARNES,intoxicaciones,drogas,2003-01-01,1
60301,YACUIBA,intoxicaciones,drogas,2003-01-01,1
20201,ACHACACHI,intoxicaciones,drogas,2003-02-01,1
71501,ASCENCION DE GUARAYOS,intoxicaciones,drogas,2003-02-01,1
22001,CARANAVI,intoxicaciones,drogas,2003-02-01,1
30101,COCHABAMBA,intoxicaciones,drogas,2003-02-01,1
70102,COTOCA,intoxicaciones,drogas,2003-02-01,1
20105,EL ALTO,intoxicaciones,drogas,2003-02-01,12
20101,LA PAZ,intoxicaciones,drogas,2003-02-01,23
71001,MONTERO,intoxicaciones,drogas,2003-02-01,2
40101,ORURO,intoxicaciones,drogas,2003-02-01,2
70502,PAILON,intoxicaciones,drogas,2003-02-01,1
21104,PALOS BLANCOS,intoxicaciones,drogas,2003-02-01,1
71401,PUERTO SUAREZ,intoxicaciones,drogas,2003-02-01,2
30901,QUILLACOLLO,intoxicaciones,drogas,2003-02-01,1
80201,RIBERALTA,intoxicaciones,drogas,2003-02-01,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,drogas,2003-02-01,5
10101,SUCRE,intoxicaciones,drogas,2003-02-01,6
60101,TARIJA,intoxicaciones,drogas,2003-02-01,7
30903,TIQUIPAYA,intoxicaciones,drogas,2003-02-01,1
20201,ACHACACHI,intoxicaciones,drogas,2003-03-01,2
71501,ASCENCION DE GUARAYOS,intoxicaciones,drogas,2003-03-01,1
21203,BATALLAS,intoxicaciones,drogas,2003-03-01,1
22001,CARANAVI,intoxicaciones,drogas,2003-03-01,1
30101,COCHABAMBA,intoxicaciones,drogas,2003-03-01,3
20105,EL ALTO,intoxicaciones,drogas,2003-03-01,12
