codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2006-01-01,2,2,0,0,2,2,4
80602,SAN ANDRES,desnutricion cronica,talla baja grave (g),2006-01-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja grave (g),2006-01-01,3,1,1,0,4,1,5
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2006-01-01,0,1,0,1,0,2,2
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2006-01-01,1,0,0,1,1,1,2
71402,PUERTO QUIJARRO,desnutricion cronica,talla baja grave (g),2006-02-01,0,1,0,0,0,1,1
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2006-02-01,1,2,1,2,2,4,6
70101,SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja grave (g),2006-02-01,2,3,3,1,5,4,9
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2006-02-01,0,1,1,1,1,2,3
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2006-02-01,1,0,0,0,1,0,1
71402,PUERTO QUIJARRO,desnutricion cronica,talla baja grave (g),2006-03-01,0,1,0,0,0,1,1
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2006-03-01,1,1,0,1,1,2,3
70101,SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja grave (g),2006-03-01,0,1,0,1,0,2,2
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2006-03-01,3,4,0,3,3,7,10
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2006-03-01,1,0,0,0,1,0,1
71402,PUERTO QUIJARRO,desnutricion cronica,talla baja grave (g),2006-04-01,2,0,0,0,2,0,2
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2006-04-01,0,0,0,1,0,1,1
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2006-04-01,0,0,1,0,1,0,1
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2006-04-01,0,0,0,1,0,1,1
80601,LORETO,desnutricion cronica,talla baja grave (g),2006-05-01,0,1,0,0,0,1,1
71402,PUERTO QUIJARRO,desnutricion cronica,talla baja grave (g),2006-05-01,0,1,0,0,0,1,1
80301,REYES,desnutricion cronica,talla baja grave (g),2006-05-01,0,1,0,0,0,1,1
30404,SACABAMBA,desnutricion cronica,talla baja grave (g),2006-05-01,0,0,0,1,0,1,1
10101,SUCRE,desnutricion cronica,talla baja grave (g),2006-05-01,0,1,0,2,0,3,3
41301,TOTORA(ORR),desnutricion cronica,talla baja grave (g),2006-05-01,1,0,0,0,1,0,1
80101,TRINIDAD,desnutricion cronica,talla baja grave (g),2006-05-01,1,0,1,0,2,0,2
60301,YACUIBA,desnutricion cronica,talla baja grave (g),2006-05-01,2,0,0,0,2,0,2
70403,YAPACANI,desnutricion cronica,talla baja grave (g),2006-05-01,1,2,0,1,1,3,4
