codigo_municipio,municipio,grupo,variable,mes,total,mujeres total
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-01-01,3,3
10501,MONTEAGUDO,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-01-01,1,1
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-02-01,2,2
30101,COCHABAMBA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-03-01,1,1
70101,SANTA CRUZ DE LA SIERRA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-03-01,1,1
31101,TAPACARI,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-03-01,1,1
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-04-01,2,2
11001,VILLA VACA GUZMAN (MUYUPAMPA),alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-04-01,2,2
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-05-01,1,1
30101,COCHABAMBA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-06-01,2,2
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-06-01,2,2
30201,AIQUILE,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-07-01,2,2
50203,LLALLAGUA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-07-01,2,2
70101,SANTA CRUZ DE LA SIERRA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-08-01,3,3
31101,TAPACARI,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-08-01,1,1
30101,COCHABAMBA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-09-01,2,2
70101,SANTA CRUZ DE LA SIERRA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-10-01,2,2
50102,TINGUIPAYA,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-11-01,2,2
30901,QUILLACOLLO,alto riesgo obstetrico,parturienta con hijo anterior muerto,2003-12-01,3,3
