codigo_municipio,municipio,grupo,variable,mes,TOTAL-M
51302,ACACIO,intoxicaciones,alimentos (brotes),2002-01-01,1
30501,ARANI,intoxicaciones,alimentos (brotes),2002-01-01,3
30301,AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,alimentos (brotes),2002-01-01,1
21203,BATALLAS,intoxicaciones,alimentos (brotes),2002-01-01,4
60202,BERMEJO,intoxicaciones,alimentos (brotes),2002-01-01,1
70706,CAMIRI,intoxicaciones,alimentos (brotes),2002-01-01,3
30701,CAPINOTA,intoxicaciones,alimentos (brotes),2002-01-01,1
40201,CHALLAPATA,intoxicaciones,alimentos (brotes),2002-01-01,4
30801,CLIZA,intoxicaciones,alimentos (brotes),2002-01-01,1
90101,COBIJA,intoxicaciones,alimentos (brotes),2002-01-01,4
30101,COCHABAMBA,intoxicaciones,alimentos (brotes),2002-01-01,47
21701,COPACABANA,intoxicaciones,alimentos (brotes),2002-01-01,2
20301,CORO CORO,intoxicaciones,alimentos (brotes),2002-01-01,1
70102,COTOCA,intoxicaciones,alimentos (brotes),2002-01-01,2
20105,EL ALTO,intoxicaciones,alimentos (brotes),2002-01-01,4
70105,EL TORNO,intoxicaciones,alimentos (brotes),2002-01-01,1
40701,HUANUNI,intoxicaciones,alimentos (brotes),2002-01-01,3
70104,LA GUARDIA,intoxicaciones,alimentos (brotes),2002-01-01,2
20101,LA PAZ,intoxicaciones,alimentos (brotes),2002-01-01,51
11003,MACHARETI,intoxicaciones,alimentos (brotes),2002-01-01,1
71003,MINEROS,intoxicaciones,alimentos (brotes),2002-01-01,2
71001,MONTERO,intoxicaciones,alimentos (brotes),2002-01-01,46
30302,MOROCHATA,intoxicaciones,alimentos (brotes),2002-01-01,2
40101,ORURO,intoxicaciones,alimentos (brotes),2002-01-01,20
10401,PADILLA,intoxicaciones,alimentos (brotes),2002-01-01,1
20102,PALCA,intoxicaciones,alimentos (brotes),2002-01-01,2
21104,PALOS BLANCOS,intoxicaciones,alimentos (brotes),2002-01-01,2
31202,POJO (CBBA),intoxicaciones,alimentos (brotes),2002-01-01,1
50101,POTOSI,intoxicaciones,alimentos (brotes),2002-01-01,2
21201,PUCARANI,intoxicaciones,alimentos (brotes),2002-01-01,1
20403,PUERTO CARABUCO,intoxicaciones,alimentos (brotes),2002-01-01,2
71401,PUERTO SUAREZ,intoxicaciones,alimentos (brotes),2002-01-01,1
31205,PUERTO VILLARROEL,intoxicaciones,alimentos (brotes),2002-01-01,1
80201,RIBERALTA,intoxicaciones,alimentos (brotes),2002-01-01,3
70901,SAMAIPATA,intoxicaciones,alimentos (brotes),2002-01-01,1
70402,SAN CARLOS,intoxicaciones,alimentos (brotes),2002-01-01,1
71201,SAN MATIAS,intoxicaciones,alimentos (brotes),2002-01-01,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,alimentos (brotes),2002-01-01,8
70602,SANTA ROSA DEL SARA,intoxicaciones,alimentos (brotes),2002-01-01,1
20601,SORATA,intoxicaciones,alimentos (brotes),2002-01-01,1
10101,SUCRE,intoxicaciones,alimentos (brotes),2002-01-01,4
20603,TACACOMA,intoxicaciones,alimentos (brotes),2002-01-01,1
50303,TACOBAMBA,intoxicaciones,alimentos (brotes),2002-01-01,1
30401,TARATA,intoxicaciones,alimentos (brotes),2002-01-01,6
60101,TARIJA,intoxicaciones,alimentos (brotes),2002-01-01,14
31601,TIRAQUE (CBBA),intoxicaciones,alimentos (brotes),2002-01-01,1
31201,TOTORA(CBBA),intoxicaciones,alimentos (brotes),2002-01-01,1
50801,TUPIZA,intoxicaciones,alimentos (brotes),2002-01-01,1
70801,VALLEGRANDE,intoxicaciones,alimentos (brotes),2002-01-01,1
20801,VIACHA,intoxicaciones,alimentos (brotes),2002-01-01,1
60303,VILLA MONTES,intoxicaciones,alimentos (brotes),2002-01-01,2
70201,WARNES,intoxicaciones,alimentos (brotes),2002-01-01,1
20903,YACO,intoxicaciones,alimentos (brotes),2002-01-01,1
30301,AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,alimentos (brotes),2002-02-01,1
21203,BATALLAS,intoxicaciones,alimentos (brotes),2002-02-01,1
60202,BERMEJO,intoxicaciones,alimentos (brotes),2002-02-01,1
70706,CAMIRI,intoxicaciones,alimentos (brotes),2002-02-01,1
30801,CLIZA,intoxicaciones,alimentos (brotes),2002-02-01,1
90101,COBIJA,intoxicaciones,alimentos (brotes),2002-02-01,3
30101,COCHABAMBA,intoxicaciones,alimentos (brotes),2002-02-01,7
31002,COLOMI,intoxicaciones,alimentos (brotes),2002-02-01,1
21401,COROICO,intoxicaciones,alimentos (brotes),2002-02-01,1
20105,EL ALTO,intoxicaciones,alimentos (brotes),2002-02-01,8
60601,ENTRE RIOS,intoxicaciones,alimentos (brotes),2002-02-01,1
20101,LA PAZ,intoxicaciones,alimentos (brotes),2002-02-01,29
71001,MONTERO,intoxicaciones,alimentos (brotes),2002-02-01,14
40101,ORURO,intoxicaciones,alimentos (brotes),2002-02-01,3
70601,PORTACHUELO,intoxicaciones,alimentos (brotes),2002-02-01,2
70804,POSTRER VALLE,intoxicaciones,alimentos (brotes),2002-02-01,1
50101,POTOSI,intoxicaciones,alimentos (brotes),2002-02-01,1
71401,PUERTO SUAREZ,intoxicaciones,alimentos (brotes),2002-02-01,2
31001,SACABA,intoxicaciones,alimentos (brotes),2002-02-01,2
70402,SAN CARLOS,intoxicaciones,alimentos (brotes),2002-02-01,1
70301,SAN IGNACIO DE VELASCO,intoxicaciones,alimentos (brotes),2002-02-01,2
80401,SANTA ANA,intoxicaciones,alimentos (brotes),2002-02-01,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,alimentos (brotes),2002-02-01,3
70602,SANTA ROSA DEL SARA,intoxicaciones,alimentos (brotes),2002-02-01,2
20601,SORATA,intoxicaciones,alimentos (brotes),2002-02-01,1
10101,SUCRE,intoxicaciones,alimentos (brotes),2002-02-01,2
30401,TARATA,intoxicaciones,alimentos (brotes),2002-02-01,1
60101,TARIJA,intoxicaciones,alimentos (brotes),2002-02-01,7
31601,TIRAQUE (CBBA),intoxicaciones,alimentos (brotes),2002-02-01,2
70201,WARNES,intoxicaciones,alimentos (brotes),2002-02-01,1
21103,YANACACHI,intoxicaciones,alimentos (brotes),2002-02-01,2
70403,YAPACANI,intoxicaciones,alimentos (brotes),2002-02-01,1
51302,ACACIO,intoxicaciones,alimentos (brotes),2002-03-01,1
30403,ARBIETO,intoxicaciones,alimentos (brotes),2002-03-01,1
21203,BATALLAS,intoxicaciones,alimentos (brotes),2002-03-01,1
70706,CAMIRI,intoxicaciones,alimentos (brotes),2002-03-01,1
30801,CLIZA,intoxicaciones,alimentos (brotes),2002-03-01,1
90101,COBIJA,intoxicaciones,alimentos (brotes),2002-03-01,1
30101,COCHABAMBA,intoxicaciones,alimentos (brotes),2002-03-01,15
31002,COLOMI,intoxicaciones,alimentos (brotes),2002-03-01,1
20105,EL ALTO,intoxicaciones,alimentos (brotes),2002-03-01,6
60601,ENTRE RIOS,intoxicaciones,alimentos (brotes),2002-03-01,2
20101,LA PAZ,intoxicaciones,alimentos (brotes),2002-03-01,34
10903,LAS CARRERAS,intoxicaciones,alimentos (brotes),2002-03-01,2
31301,MIZQUE,intoxicaciones,alimentos (brotes),2002-03-01,2
71001,MONTERO,intoxicaciones,alimentos (brotes),2002-03-01,7
40101,ORURO,intoxicaciones,alimentos (brotes),2002-03-01,6
10401,PADILLA,intoxicaciones,alimentos (brotes),2002-03-01,1
70601,PORTACHUELO,intoxicaciones,alimentos (brotes),2002-03-01,2
71402,PUERTO QUIJARRO,intoxicaciones,alimentos (brotes),2002-03-01,1
71401,PUERTO SUAREZ,intoxicaciones,alimentos (brotes),2002-03-01,2
70904,QUIRUSILLAS,intoxicaciones,alimentos (brotes),2002-03-01,2
50402,RAVELO,intoxicaciones,alimentos (brotes),2002-03-01,1
31001,SACABA,intoxicaciones,alimentos (brotes),2002-03-01,3
70301,SAN IGNACIO DE VELASCO,intoxicaciones,alimentos (brotes),2002-03-01,1
