codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
30201,AIQUILE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,0,1,1
20701,APOLO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,9,3,12
30101,COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,3,0,3
20105,EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
21305,PATACAMAYA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,2,0,2
50101,POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
10302,PRESTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
21002,QUIME,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
80201,RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,20,0,20
31001,SACABA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
30404,SACABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,2,0,2
90303,SENA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
21301,SICA SICA (VILLA AROMA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,1,0,1
10101,SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,10,0,10
31302,VILA VILA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-01-01,0,1,1
30101,COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,8,1,9
71101,CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
71106,CUATRO CAÑADAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
20105,EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,11,0,11
20405,ESCOMA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
80202,GUAYARAMERIN,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
21105,LA ASUNTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
50101,POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
70301,SAN IGNACIO DE VELASCO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
70302,SAN MIGUEL DE VELASCO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
90303,SENA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,0,1,1
10101,SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,2,3
30502,VACAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-02-01,1,0,1
30101,COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
71301,COMARAPA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
71101,CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
20105,EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
70105,EL TORNO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
80202,GUAYARAMERIN,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
20101,LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,36,10,46
50101,POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
21502,SAN BUENA VENTURA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,0,2,2
70101,SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,18,0,18
31302,VILA VILA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,2,0,2
51501,VILLAZON,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-03-01,1,0,1
90101,COBIJA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
71301,COMARAPA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,2,0,2
21401,COROICO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
70105,EL TORNO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
20405,ESCOMA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,0,1,1
40701,HUANUNI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
20101,LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,19,0,19
50203,LLALLAGUA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,0,1,1
31301,MIZQUE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
90401,NACEBE (SANTA ROSA DEL ABUNA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,15,3,18
20308,SANTIAGO DE CALLAPA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,0,1,1
60101,TARIJA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
80101,TRINIDAD,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,2,0,2
31003,VILLA TUNARI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
60301,YACUIBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-04-01,1,0,1
30101,COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
70102,COTOCA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,0,1,1
20105,EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
20405,ESCOMA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,0,1,1
20101,LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,24,0,24
31203,POCONA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
50101,POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,5,0,5
80201,RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,3,0,3
31001,SACABA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
70501,SAN JOSE DE CHIQUITOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,0,2,2
31003,VILLA TUNARI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
60301,YACUIBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-05-01,1,0,1
30101,COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2017-06-01,1,0,1
