codigo_municipio,municipio,grupo,variable,mes,totales_total-dentro,totales-1_total-fuera,totales-2_total
80202,GUAYARAMERIN,mortalidad materna,muerte materna confirmada,2017-01-01,1,0,1
40101,ORURO,mortalidad materna,muerte materna confirmada,2017-01-01,2,0,2
30901,QUILLACOLLO,mortalidad materna,muerte materna confirmada,2017-01-01,0,1,1
80201,RIBERALTA,mortalidad materna,muerte materna confirmada,2017-01-01,1,1,2
10702,SAN LUCAS,mortalidad materna,muerte materna confirmada,2017-01-01,0,1,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2017-01-01,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2017-02-01,2,0,2
71102,SAN JAVIER(STC),mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
60101,TARIJA,mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
10202,TARVITA,mortalidad materna,muerte materna confirmada,2017-02-01,0,1,1
51501,VILLAZON,mortalidad materna,muerte materna confirmada,2017-02-01,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna confirmada,2017-03-01,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2017-03-01,0,1,1
70102,COTOCA,mortalidad materna,muerte materna confirmada,2017-03-01,1,0,1
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2017-03-01,2,0,2
20405,ESCOMA,mortalidad materna,muerte materna confirmada,2017-03-01,0,1,1
40101,ORURO,mortalidad materna,muerte materna confirmada,2017-03-01,2,0,2
50101,POTOSI,mortalidad materna,muerte materna confirmada,2017-03-01,1,0,1
21702,SAN PEDRO DE TIQUINA,mortalidad materna,muerte materna confirmada,2017-03-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2017-03-01,3,0,3
41401,SANTIAGO DE HUARI,mortalidad materna,muerte materna confirmada,2017-03-01,0,1,1
50303,TACOBAMBA,mortalidad materna,muerte materna confirmada,2017-03-01,0,1,1
80101,TRINIDAD,mortalidad materna,muerte materna confirmada,2017-03-01,1,1,2
