codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 2 años,mujeres de 1 a 2 años,hombres de 2 a 5 años,mujeres de 2 a 5 años,mujeres embarazadas según IMC,población general según IMC,hombres total,mujeres total,total
20201,ACHACACHI,estado nutricional,sobrepeso (s),2014-01-01,12,8,12,9,9,13,15,0,48,30,78
20104,ACHOCALLA,estado nutricional,sobrepeso (s),2014-01-01,2,1,1,2,1,0,10,0,14,3,17
30201,AIQUILE,estado nutricional,sobrepeso (s),2014-01-01,3,1,1,1,0,0,7,0,11,2,13
31303,ALALAY,estado nutricional,sobrepeso (s),2014-01-01,0,1,0,0,1,0,0,0,1,1,2
22002,ALTO BENI,estado nutricional,sobrepeso (s),2014-01-01,3,3,3,1,1,0,5,0,12,4,16
20202,ANCORAIMES,estado nutricional,sobrepeso (s),2014-01-01,1,3,2,0,2,1,6,0,11,4,15
41201,ANDAMARCA,estado nutricional,sobrepeso (s),2014-01-01,0,0,0,3,2,1,3,0,5,4,9
40603,ANTEQUERA,estado nutricional,sobrepeso (s),2014-01-01,0,6,0,0,0,0,8,0,8,6,14
30402,ANZALDO,estado nutricional,sobrepeso (s),2014-01-01,1,1,1,1,0,2,0,0,2,4,6
20701,APOLO,estado nutricional,sobrepeso (s),2014-01-01,10,7,3,4,4,6,15,0,32,17,49
51301,ARAMPAMPA,estado nutricional,sobrepeso (s),2014-01-01,0,0,0,0,0,0,3,0,3,0,3
30501,ARANI,estado nutricional,sobrepeso (s),2014-01-01,1,0,0,0,1,0,3,0,5,0,5
30403,ARBIETO,estado nutricional,sobrepeso (s),2014-01-01,1,2,0,0,0,2,4,0,5,4,9
30601,ARQUE,estado nutricional,sobrepeso (s),2014-01-01,5,4,3,4,4,5,8,0,20,13,33
71501,ASCENCION DE GUARAYOS,estado nutricional,sobrepeso (s),2014-01-01,13,28,2,4,10,19,80,0,105,51,156
50802,ATOCHA,estado nutricional,sobrepeso (s),2014-01-01,9,7,2,1,4,2,14,0,29,10,39
