codigo_municipio,municipio,grupo,variable,mes,Cantidad,TOTAL-M
20201,ACHACACHI,intoxicaciones,plaguicidas,2006-01-01,1,1
60202,BERMEJO,intoxicaciones,plaguicidas,2006-01-01,1,1
21304,CALAMARCA,intoxicaciones,plaguicidas,2006-01-01,2,2
22001,CARANAVI,intoxicaciones,plaguicidas,2006-01-01,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-01-01,4,4
20501,CHUMA,intoxicaciones,plaguicidas,2006-01-01,1,1
30801,CLIZA,intoxicaciones,plaguicidas,2006-01-01,2,2
30101,COCHABAMBA,intoxicaciones,plaguicidas,2006-01-01,48,48
31002,COLOMI,intoxicaciones,plaguicidas,2006-01-01,2,2
71301,COMARAPA,intoxicaciones,plaguicidas,2006-01-01,1,1
20105,EL ALTO,intoxicaciones,plaguicidas,2006-01-01,22,22
20602,GUANAY,intoxicaciones,plaguicidas,2006-01-01,2,2
20101,LA PAZ,intoxicaciones,plaguicidas,2006-01-01,19,19
20607,MAPIRI,intoxicaciones,plaguicidas,2006-01-01,1,1
71003,MINEROS,intoxicaciones,plaguicidas,2006-01-01,2,2
20402,MOCOMOCO,intoxicaciones,plaguicidas,2006-01-01,1,1
71001,MONTERO,intoxicaciones,plaguicidas,2006-01-01,2,2
40101,ORURO,intoxicaciones,plaguicidas,2006-01-01,12,12
21104,PALOS BLANCOS,intoxicaciones,plaguicidas,2006-01-01,1,1
21802,PAPEL PAMPA,intoxicaciones,plaguicidas,2006-01-01,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-01-01,1,1
30901,QUILLACOLLO,intoxicaciones,plaguicidas,2006-01-01,4,4
70301,SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-01-01,1,1
70404,SAN JUAN DE YAPACANI,intoxicaciones,plaguicidas,2006-01-01,2,2
71104,SAN JULIAN,intoxicaciones,plaguicidas,2006-01-01,1,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2006-01-01,1,1
21301,SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2006-01-01,1,1
10101,SUCRE,intoxicaciones,plaguicidas,2006-01-01,2,2
60101,TARIJA,intoxicaciones,plaguicidas,2006-01-01,5,5
80101,TRINIDAD,intoxicaciones,plaguicidas,2006-01-01,1,1
30502,VACAS,intoxicaciones,plaguicidas,2006-01-01,2,2
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2006-01-01,10,10
11001,VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,plaguicidas,2006-01-01,1,1
70201,WARNES,intoxicaciones,plaguicidas,2006-01-01,1,1
60301,YACUIBA,intoxicaciones,plaguicidas,2006-01-01,7,7
20201,ACHACACHI,intoxicaciones,plaguicidas,2006-02-01,1,1
21203,BATALLAS,intoxicaciones,plaguicidas,2006-02-01,3,3
50301,BETANZOS,intoxicaciones,plaguicidas,2006-02-01,1,1
31501,BOLIVAR,intoxicaciones,plaguicidas,2006-02-01,1,1
70706,CAMIRI,intoxicaciones,plaguicidas,2006-02-01,2,2
40102,CARACOLLO,intoxicaciones,plaguicidas,2006-02-01,2,2
90101,COBIJA,intoxicaciones,plaguicidas,2006-02-01,1,1
30101,COCHABAMBA,intoxicaciones,plaguicidas,2006-02-01,33,33
31002,COLOMI,intoxicaciones,plaguicidas,2006-02-01,2,2
71301,COMARAPA,intoxicaciones,plaguicidas,2006-02-01,1,1
21402,CORIPATA,intoxicaciones,plaguicidas,2006-02-01,1,1
20105,EL ALTO,intoxicaciones,plaguicidas,2006-02-01,19,19
71004,FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2006-02-01,1,1
20101,LA PAZ,intoxicaciones,plaguicidas,2006-02-01,18,18
21202,LAJA,intoxicaciones,plaguicidas,2006-02-01,1,1
20103,MECAPACA,intoxicaciones,plaguicidas,2006-02-01,1,1
50404,OCURI,intoxicaciones,plaguicidas,2006-02-01,1,1
40101,ORURO,intoxicaciones,plaguicidas,2006-02-01,5,5
20102,PALCA,intoxicaciones,plaguicidas,2006-02-01,1,1
10103,POROMA,intoxicaciones,plaguicidas,2006-02-01,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-02-01,1,1
51101,PUNA,intoxicaciones,plaguicidas,2006-02-01,2,2
31401,PUNATA,intoxicaciones,plaguicidas,2006-02-01,1,1
30901,QUILLACOLLO,intoxicaciones,plaguicidas,2006-02-01,4,4
70904,QUIRUSILLAS,intoxicaciones,plaguicidas,2006-02-01,1,1
31001,SACABA,intoxicaciones,plaguicidas,2006-02-01,3,3
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2006-02-01,3,3
60101,TARIJA,intoxicaciones,plaguicidas,2006-02-01,6,6
20608,TEOPONTE,intoxicaciones,plaguicidas,2006-02-01,1,1
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2006-02-01,1,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2006-02-01,2,2
60301,YACUIBA,intoxicaciones,plaguicidas,2006-02-01,3,3
20202,ANCORAIMES,intoxicaciones,plaguicidas,2006-03-01,1,1
50301,BETANZOS,intoxicaciones,plaguicidas,2006-03-01,4,4
90101,COBIJA,intoxicaciones,plaguicidas,2006-03-01,1,1
30101,COCHABAMBA,intoxicaciones,plaguicidas,2006-03-01,31,31
31002,COLOMI,intoxicaciones,plaguicidas,2006-03-01,3,3
71301,COMARAPA,intoxicaciones,plaguicidas,2006-03-01,2,2
21701,COPACABANA,intoxicaciones,plaguicidas,2006-03-01,1,1
50601,COTAGAITA,intoxicaciones,plaguicidas,2006-03-01,1,1
