codigo_municipio,municipio,grupo,variable,mes,totales_total-dentro,totales-1_total-fuera,totales-2_total
50202,CHAYANTA,mortalidad materna,muerte materna notificada,2017-01-01,0,1,1
30901,QUILLACOLLO,mortalidad materna,muerte materna notificada,2017-01-01,0,1,1
10702,SAN LUCAS,mortalidad materna,muerte materna notificada,2017-01-01,0,1,1
10101,SUCRE,mortalidad materna,muerte materna notificada,2017-01-01,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna notificada,2017-02-01,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna notificada,2017-02-01,1,0,1
21301,SICA SICA (VILLA AROMA),mortalidad materna,muerte materna notificada,2017-02-01,0,1,1
10101,SUCRE,mortalidad materna,muerte materna notificada,2017-02-01,1,0,1
60101,TARIJA,mortalidad materna,muerte materna notificada,2017-02-01,1,0,1
10202,TARVITA,mortalidad materna,muerte materna notificada,2017-02-01,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna notificada,2017-03-01,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna notificada,2017-03-01,0,1,1
50401,COLQUECHACA,mortalidad materna,muerte materna notificada,2017-03-01,0,1,1
70102,COTOCA,mortalidad materna,muerte materna notificada,2017-03-01,1,0,1
50101,POTOSI,mortalidad materna,muerte materna notificada,2017-03-01,1,0,1
21702,SAN PEDRO DE TIQUINA,mortalidad materna,muerte materna notificada,2017-03-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2017-03-01,3,0,3
50303,TACOBAMBA,mortalidad materna,muerte materna notificada,2017-03-01,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna notificada,2017-04-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2017-04-01,1,0,1
30902,SIPE SIPE,mortalidad materna,muerte materna notificada,2017-04-01,0,1,1
50303,TACOBAMBA,mortalidad materna,muerte materna notificada,2017-04-01,0,1,1
50201,UNCIA,mortalidad materna,muerte materna notificada,2017-04-01,0,1,1
