codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,desnutricion aguda,desnutricion leve (l),2007-01-01,2,12,12,15,14,27,41
30201,AIQUILE,desnutricion aguda,desnutricion leve (l),2007-01-01,16,18,18,11,34,29,63
31303,ALALAY,desnutricion aguda,desnutricion leve (l),2007-01-01,7,6,9,7,16,13,29
10404,ALCALA,desnutricion aguda,desnutricion leve (l),2007-01-01,15,17,31,24,46,41,87
41201,ANDAMARCA,desnutricion aguda,desnutricion leve (l),2007-01-01,3,1,2,2,5,3,8
30402,ANZALDO,desnutricion aguda,desnutricion leve (l),2007-01-01,5,4,17,18,22,22,44
51301,ARAMPAMPA,desnutricion aguda,desnutricion leve (l),2007-01-01,32,15,15,23,47,38,85
30501,ARANI,desnutricion aguda,desnutricion leve (l),2007-01-01,12,12,11,19,23,31,54
30403,ARBIETO,desnutricion aguda,desnutricion leve (l),2007-01-01,11,6,18,15,29,21,50
30601,ARQUE,desnutricion aguda,desnutricion leve (l),2007-01-01,45,28,30,38,75,66,141
50802,ATOCHA,desnutricion aguda,desnutricion leve (l),2007-01-01,23,26,21,25,44,51,95
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,desnutricion leve (l),2007-01-01,26,22,37,40,63,62,125
10201,AZURDUY,desnutricion aguda,desnutricion leve (l),2007-01-01,45,33,65,67,110,100,210
80802,BAURES,desnutricion aguda,desnutricion leve (l),2007-01-01,10,8,5,10,15,18,33
41202,BELEN DE ANDAMARCA,desnutricion aguda,desnutricion leve (l),2007-01-01,3,0,3,0,6,0,6
50104,BELEN DE URMIRI,desnutricion aguda,desnutricion leve (l),2007-01-01,2,1,2,4,4,5,9
90104,BELLA FLOR,desnutricion aguda,desnutricion leve (l),2007-01-01,5,6,6,11,11,17,28
60202,BERMEJO,desnutricion aguda,desnutricion leve (l),2007-01-01,7,4,8,5,15,9,24
50301,BETANZOS,desnutricion aguda,desnutricion leve (l),2007-01-01,47,52,100,76,147,128,275
31501,BOLIVAR,desnutricion aguda,desnutricion leve (l),2007-01-01,19,21,20,26,39,47,86
90103,BOLPEBRA,desnutricion aguda,desnutricion leve (l),2007-01-01,2,1,6,4,8,5,13
70707,BOYUIBE,desnutricion aguda,desnutricion leve (l),2007-01-01,2,0,12,4,14,4,18
70401,BUENA VISTA,desnutricion aguda,desnutricion leve (l),2007-01-01,4,6,9,11,13,17,30
70703,CABEZAS,desnutricion aguda,desnutricion leve (l),2007-01-01,23,33,36,12,59,45,104
51102,"CAIZA ""D""",desnutricion aguda,desnutricion leve (l),2007-01-01,9,13,16,14,25,27,52
21003,CAJUATA,desnutricion aguda,desnutricion leve (l),2007-01-01,18,14,8,6,26,20,46
10701,CAMARGO,desnutricion aguda,desnutricion leve (l),2007-01-01,48,56,69,69,117,125,242
