codigo_municipio,municipio,grupo,variable,mes,total,mujeres total
20201,ACHACACHI,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
30201,AIQUILE,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,5,5
20202,ANCORAIMES,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
41201,ANDAMARCA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
51301,ARAMPAMPA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
71501,ASCENCION DE GUARAYOS,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
50802,ATOCHA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
80802,BAURES,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
60202,BERMEJO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
50301,BETANZOS,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,4,4
70703,CABEZAS,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
10701,CAMARGO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,5,5
70706,CAMIRI,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,8,8
40201,CHALLAPATA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
70702,CHARAGUA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
50202,CHAYANTA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
31204,CHIMORE,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,10,10
40302,CHOQUE COTA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
30801,CLIZA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
90101,COBIJA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,17,17
30101,COCHABAMBA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,97,97
30905,COLCAPIRHUA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
20605,COMBAYA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
21701,COPACABANA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
21401,COROICO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,4,4
70102,COTOCA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,4,4
10902,CULPINA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
20804,DESAGUADERO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
20105,EL ALTO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,103,103
70105,EL TORNO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,5,5
41101,EUCALIPTUS,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
21601,GRAL. J.J. PEREZ (CHARAZANI),alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
20602,GUANAY,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
80202,GUAYARAMERIN,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,12,12
40701,HUANUNI,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,10,10
10703,INCAHUASI,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
21102,IRUPANA (VILLA DE LANZA),alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
21105,LA ASUNTA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
70104,LA GUARDIA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
20101,LA PAZ,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,142,142
21202,LAJA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
50203,LLALLAGUA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
51401,LLICA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
80601,LORETO,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
80801,MAGDALENA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,1,1
70903,MAIRANA,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,6,6
71003,MINEROS,alto riesgo obstetrico,hemorragia de la primera mitad del embarazo,2003-01-01,2,2
