codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 2 años,mujeres de 1 a 2 años,hombres de 2 a 5 años,mujeres de 2 a 5 años,mujeres embarazadas según IMC,población general según IMC,hombres total,mujeres total,total
20201,ACHACACHI,estado nutricional,nutricion normal (n),2013-01-01,22,25,16,16,21,13,85,0,144,54,198
20104,ACHOCALLA,estado nutricional,nutricion normal (n),2013-01-01,18,15,12,10,7,4,38,0,75,29,104
30201,AIQUILE,estado nutricional,nutricion normal (n),2013-01-01,208,184,176,214,138,155,51,0,573,553,1126
31303,ALALAY,estado nutricional,nutricion normal (n),2013-01-01,21,20,8,9,14,7,6,0,49,36,85
10404,ALCALA,estado nutricional,nutricion normal (n),2013-01-01,5,10,4,1,3,3,5,0,17,14,31
22002,ALTO BENI,estado nutricional,nutricion normal (n),2013-01-01,103,71,96,91,83,86,25,0,307,248,555
20202,ANCORAIMES,estado nutricional,nutricion normal (n),2013-01-01,5,2,5,2,15,10,21,0,46,14,60
41201,ANDAMARCA,estado nutricional,nutricion normal (n),2013-01-01,0,2,2,0,7,2,1,0,10,4,14
40603,ANTEQUERA,estado nutricional,nutricion normal (n),2013-01-01,2,1,2,3,0,0,1,0,5,4,9
30402,ANZALDO,estado nutricional,nutricion normal (n),2013-01-01,37,38,45,33,25,35,1,0,108,106,214
20701,APOLO,estado nutricional,nutricion normal (n),2013-01-01,9,7,11,11,9,5,30,0,59,23,82
51301,ARAMPAMPA,estado nutricional,nutricion normal (n),2013-01-01,1,2,0,0,0,0,17,0,18,2,20
30501,ARANI,estado nutricional,nutricion normal (n),2013-01-01,125,88,96,121,115,84,121,0,457,293,750
30403,ARBIETO,estado nutricional,nutricion normal (n),2013-01-01,138,149,128,120,151,139,78,0,495,408,903
30601,ARQUE,estado nutricional,nutricion normal (n),2013-01-01,106,85,129,94,94,92,49,0,378,271,649
71501,ASCENCION DE GUARAYOS,estado nutricional,nutricion normal (n),2013-01-01,48,32,13,17,13,8,0,0,74,57,131
50802,ATOCHA,estado nutricional,nutricion normal (n),2013-01-01,66,78,58,65,84,79,33,0,241,222,463
20503,AUCAPATA,estado nutricional,nutricion normal (n),2013-01-01,2,4,1,0,0,0,6,0,9,4,13
20502,AYATA,estado nutricional,nutricion normal (n),2013-01-01,4,11,6,11,1,1,6,0,17,23,40
21303,AYO AYO,estado nutricional,nutricion normal (n),2013-01-01,6,7,5,4,2,7,15,0,28,18,46
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2013-01-01,27,44,39,40,33,37,49,0,148,121,269
10201,AZURDUY,estado nutricional,nutricion normal (n),2013-01-01,8,11,4,5,14,13,0,0,26,29,55
21203,BATALLAS,estado nutricional,nutricion normal (n),2013-01-01,9,11,17,11,4,2,21,0,51,24,75
80802,BAURES,estado nutricional,nutricion normal (n),2013-01-01,33,39,30,19,49,30,0,0,112,88,200
41202,BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2013-01-01,1,3,0,3,0,1,2,0,3,7,10
50104,BELEN DE URMIRI,estado nutricional,nutricion normal (n),2013-01-01,11,14,13,13,10,9,4,0,38,36,74
90104,BELLA FLOR,estado nutricional,nutricion normal (n),2013-01-01,0,2,1,2,0,1,2,0,3,5,8
60202,BERMEJO,estado nutricional,nutricion normal (n),2013-01-01,76,102,41,50,13,13,15,0,145,165,310
50301,BETANZOS,estado nutricional,nutricion normal (n),2013-01-01,7,5,6,4,8,8,32,0,53,17,70
31501,BOLIVAR,estado nutricional,nutricion normal (n),2013-01-01,4,3,1,0,1,1,10,0,16,4,20
90103,BOLPEBRA,estado nutricional,nutricion normal (n),2013-01-01,8,4,2,2,2,4,3,0,15,10,25
70707,BOYUIBE,estado nutricional,nutricion normal (n),2013-01-01,29,21,21,33,32,41,1,0,83,95,178
70401,BUENA VISTA,estado nutricional,nutricion normal (n),2013-01-01,31,31,49,41,48,34,10,0,138,106,244
70703,CABEZAS,estado nutricional,nutricion normal (n),2013-01-01,106,111,71,82,84,67,62,0,323,260,583
20905,CAIROMA,estado nutricional,nutricion normal (n),2013-01-01,10,10,6,4,8,5,6,0,30,19,49
51102,"CAIZA ""D""",estado nutricional,nutricion normal (n),2013-01-01,2,3,5,7,9,8,4,0,20,18,38
21003,CAJUATA,estado nutricional,nutricion normal (n),2013-01-01,2,1,5,3,4,6,10,0,21,10,31
20303,CALACOTO,estado nutricional,nutricion normal (n),2013-01-01,1,7,2,1,0,0,1,0,4,8,12
21304,CALAMARCA,estado nutricional,nutricion normal (n),2013-01-01,7,4,2,10,5,2,17,0,31,16,47
10701,CAMARGO,estado nutricional,nutricion normal (n),2013-01-01,4,0,2,2,0,0,14,0,20,2,22
10901,CAMATAQUI (C. VILLA ABECIA),estado nutricional,nutricion normal (n),2013-01-01,3,9,8,7,22,5,5,0,38,21,59
70706,CAMIRI,estado nutricional,nutricion normal (n),2013-01-01,64,43,40,33,48,45,20,0,172,121,293
30701,CAPINOTA,estado nutricional,nutricion normal (n),2013-01-01,39,29,32,21,14,21,9,0,94,71,165
20302,CAQUIAVIRI,estado nutricional,nutricion normal (n),2013-01-01,10,6,3,4,12,2,11,0,36,12,48
40102,CARACOLLO,estado nutricional,nutricion normal (n),2013-01-01,86,67,69,58,86,95,19,0,260,220,480
22001,CARANAVI,estado nutricional,nutricion normal (n),2013-01-01,97,68,115,74,71,91,101,0,384,233,617
60302,CARAPARI,estado nutricional,nutricion normal (n),2013-01-01,3,5,0,1,2,3,4,0,9,9,18
