codigo_municipio,municipio,grupo,variable,mes,Cantidad-H,Cantidad-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
20201,ACHACACHI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,1,1,1,2
10404,ALCALA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,3,0,3,3
20202,ANCORAIMES,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,6,0,6,6
41201,ANDAMARCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,3,0,3,3
30402,ANZALDO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
50802,ATOCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,1,1,1,2
30301,AYOPAYA (V. DE INDEPENDENCIA),mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,0,1,0,1
10201,AZURDUY,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,5,1,5,6
21203,BATALLAS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
60202,BERMEJO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,2,6,2,6,8
50301,BETANZOS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,16,1,16,17
70707,BOYUIBE,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
70401,BUENA VISTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,2,1,2,1,3
51102,"CAIZA ""D""",mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
10701,CAMARGO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,1,1,1,2
70706,CAMIRI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,2,0,2,0,2
40201,CHALLAPATA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,4,0,4,4
50302,CHAQUI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,4,0,4,4
50202,CHAYANTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
30101,COCHABAMBA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,79,3,79,3,82
30905,COLCAPIRHUA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,1,0,1,0,1
21307,COLLANA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
71301,COMARAPA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
20301,CORO CORO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
21401,COROICO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
40301,CORQUE,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
50601,COTAGAITA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
70102,COTOCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
70704,CUEVO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,2,0,2,2
10902,CULPINA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
20804,DESAGUADERO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,9,11,9,11,20
60502,EL PUENTE(TJA),mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,1,0,1,1
70105,EL TORNO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2004-01-01,0,4,0,4,4
