codigo_municipio,municipio,grupo,variable,mes,TOTAL-H,TOTAL-M,TOTAL
30501,ARANI,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
30701,CAPINOTA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
30101,COCHABAMBA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
50401,COLQUECHACA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
21401,COROICO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,2,0,2
20804,DESAGUADERO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
20105,EL ALTO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,11,0,11
20101,LA PAZ,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,28,0,28
10501,MONTEAGUDO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,2,0,2
71001,MONTERO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
40101,ORURO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,3,0,3
21305,PATACAMAYA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
31202,POJO (CBBA),tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
50101,POTOSI,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,5,0,5
31205,PUERTO VILLARROEL,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,3,0,3
30901,QUILLACOLLO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,2,0,2
80501,SAN IGNACIO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
70301,SAN IGNACIO DE VELASCO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
10101,SUCRE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,3,0,3
30903,TIQUIPAYA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
50801,TUPIZA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
51501,VILLAZON,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-01-01,1,0,1
30101,COCHABAMBA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,3,0,3
21401,COROICO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,1,0,1
20105,EL ALTO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
70105,EL TORNO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,4,0,4
20101,LA PAZ,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,16,0,16
10501,MONTEAGUDO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
40101,ORURO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,1,0,1
50101,POTOSI,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,3,0,3
30901,QUILLACOLLO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,3,0,3
31001,SACABA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
70302,SAN MIGUEL DE VELASCO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
70101,SANTA CRUZ DE LA SIERRA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,3,0,3
10101,SUCRE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
10402,TOMINA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,2,0,2
80101,TRINIDAD,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,1,0,1
50801,TUPIZA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-02-01,1,0,1
20701,APOLO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
30101,COCHABAMBA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,2,0,2
30905,COLCAPIRHUA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
21401,COROICO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
20105,EL ALTO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,4,0,4
70105,EL TORNO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,2,0,2
20101,LA PAZ,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,44,0,44
10501,MONTEAGUDO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
70202,OKINAWA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,2,0,2
40101,ORURO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,3,0,3
50101,POTOSI,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,5,0,5
80302,SAN BORJA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
70402,SAN CARLOS,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,4,0,4
10101,SUCRE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,2,0,2
20801,VIACHA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-03-01,1,0,1
20104,ACHOCALLA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
30801,CLIZA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
30101,COCHABAMBA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,2,0,2
30905,COLCAPIRHUA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
21401,COROICO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
20105,EL ALTO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,2,0,2
10502,HUACARETA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
21102,IRUPANA (VILLA DE LANZA),tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,2,0,2
20101,LA PAZ,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,38,0,38
31301,MIZQUE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
40101,ORURO,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
50101,POTOSI,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,3,0,3
70904,QUIRUSILLAS,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
70503,ROBORE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,9,0,9
10101,SUCRE,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,6,0,6
30903,TIQUIPAYA,tuberculosis (casos confirmados),tuberculosis extrapulmonar,2001-04-01,1,0,1
