codigo_municipio,municipio,grupo,variable,mes,hombres,mujeres,hombres total,mujeres total,total
51302,ACACIO,estado nutricional,clasificacion f,2004-01-01,2,6,2,6,8
20201,ACHACACHI,estado nutricional,clasificacion f,2004-01-01,13,2,13,2,15
20104,ACHOCALLA,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
30201,AIQUILE,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
31303,ALALAY,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
10404,ALCALA,estado nutricional,clasificacion f,2004-01-01,0,3,0,3,3
20202,ANCORAIMES,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
20701,APOLO,estado nutricional,clasificacion f,2004-01-01,0,1,0,1,1
51301,ARAMPAMPA,estado nutricional,clasificacion f,2004-01-01,7,1,7,1,8
30501,ARANI,estado nutricional,clasificacion f,2004-01-01,5,1,5,1,6
30403,ARBIETO,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
30601,ARQUE,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
50802,ATOCHA,estado nutricional,clasificacion f,2004-01-01,2,2,2,2,4
20503,AUCAPATA,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
20502,AYATA,estado nutricional,clasificacion f,2004-01-01,5,0,5,0,5
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,clasificacion f,2004-01-01,8,4,8,4,12
10201,AZURDUY,estado nutricional,clasificacion f,2004-01-01,8,11,8,11,19
21203,BATALLAS,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
50301,BETANZOS,estado nutricional,clasificacion f,2004-01-01,15,5,15,5,20
31501,BOLIVAR,estado nutricional,clasificacion f,2004-01-01,5,2,5,2,7
70703,CABEZAS,estado nutricional,clasificacion f,2004-01-01,12,5,12,5,17
20905,CAIROMA,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
51102,"CAIZA ""D""",estado nutricional,clasificacion f,2004-01-01,2,2,2,2,4
21003,CAJUATA,estado nutricional,clasificacion f,2004-01-01,1,3,1,3,4
21304,CALAMARCA,estado nutricional,clasificacion f,2004-01-01,7,1,7,1,8
10701,CAMARGO,estado nutricional,clasificacion f,2004-01-01,1,1,1,1,2
70706,CAMIRI,estado nutricional,clasificacion f,2004-01-01,12,8,12,8,20
30701,CAPINOTA,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
20302,CAQUIAVIRI,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
22001,CARANAVI,estado nutricional,clasificacion f,2004-01-01,5,6,5,6,11
60302,CARAPARI,estado nutricional,clasificacion f,2004-01-01,0,1,0,1,1
50702,CARIPUYO,estado nutricional,clasificacion f,2004-01-01,9,4,9,4,13
40201,CHALLAPATA,estado nutricional,clasificacion f,2004-01-01,4,0,4,0,4
50302,CHAQUI,estado nutricional,clasificacion f,2004-01-01,3,1,3,1,4
70702,CHARAGUA,estado nutricional,clasificacion f,2004-01-01,7,1,7,1,8
50202,CHAYANTA,estado nutricional,clasificacion f,2004-01-01,3,2,3,2,5
31204,CHIMORE,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
20501,CHUMA,estado nutricional,clasificacion f,2004-01-01,2,2,2,2,4
90101,COBIJA,estado nutricional,clasificacion f,2004-01-01,5,6,5,6,11
30101,COCHABAMBA,estado nutricional,clasificacion f,2004-01-01,18,3,18,3,21
50901,"COLCHA ""K""",estado nutricional,clasificacion f,2004-01-01,0,1,0,1,1
31002,COLOMI,estado nutricional,clasificacion f,2004-01-01,2,4,2,4,6
50401,COLQUECHACA,estado nutricional,clasificacion f,2004-01-01,27,19,27,19,46
21004,COLQUIRI,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
71301,COMARAPA,estado nutricional,clasificacion f,2004-01-01,5,2,5,2,7
20605,COMBAYA,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
21701,COPACABANA,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
40301,CORQUE,estado nutricional,clasificacion f,2004-01-01,2,0,2,0,2
50601,COTAGAITA,estado nutricional,clasificacion f,2004-01-01,9,3,9,3,12
70102,COTOCA,estado nutricional,clasificacion f,2004-01-01,3,0,3,0,3
70704,CUEVO,estado nutricional,clasificacion f,2004-01-01,1,0,1,0,1
10902,CULPINA,estado nutricional,clasificacion f,2004-01-01,5,7,5,7,12
