codigo_municipio,municipio,grupo,variable,mes,hombres,mujeres,hombres total,mujeres total,total
51302,ACACIO,estado nutricional,clasificacion c,2004-01-01,89,125,89,125,214
20201,ACHACACHI,estado nutricional,clasificacion c,2004-01-01,539,667,539,667,1206
20104,ACHOCALLA,estado nutricional,clasificacion c,2004-01-01,63,21,63,21,84
30201,AIQUILE,estado nutricional,clasificacion c,2004-01-01,127,103,127,103,230
31303,ALALAY,estado nutricional,clasificacion c,2004-01-01,7,22,7,22,29
10404,ALCALA,estado nutricional,clasificacion c,2004-01-01,58,134,58,134,192
20202,ANCORAIMES,estado nutricional,clasificacion c,2004-01-01,249,303,249,303,552
41201,ANDAMARCA,estado nutricional,clasificacion c,2004-01-01,38,29,38,29,67
40603,ANTEQUERA,estado nutricional,clasificacion c,2004-01-01,23,55,23,55,78
30402,ANZALDO,estado nutricional,clasificacion c,2004-01-01,17,15,17,15,32
20701,APOLO,estado nutricional,clasificacion c,2004-01-01,85,37,85,37,122
51301,ARAMPAMPA,estado nutricional,clasificacion c,2004-01-01,68,70,68,70,138
30501,ARANI,estado nutricional,clasificacion c,2004-01-01,71,18,71,18,89
30403,ARBIETO,estado nutricional,clasificacion c,2004-01-01,63,30,63,30,93
30601,ARQUE,estado nutricional,clasificacion c,2004-01-01,72,50,72,50,122
50802,ATOCHA,estado nutricional,clasificacion c,2004-01-01,122,333,122,333,455
20503,AUCAPATA,estado nutricional,clasificacion c,2004-01-01,32,12,32,12,44
20502,AYATA,estado nutricional,clasificacion c,2004-01-01,58,39,58,39,97
21303,AYO AYO,estado nutricional,clasificacion c,2004-01-01,43,50,43,50,93
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,clasificacion c,2004-01-01,217,160,217,160,377
10201,AZURDUY,estado nutricional,clasificacion c,2004-01-01,317,357,317,357,674
21203,BATALLAS,estado nutricional,clasificacion c,2004-01-01,138,124,138,124,262
80802,BAURES,estado nutricional,clasificacion c,2004-01-01,44,23,44,23,67
41202,BELEN DE ANDAMARCA,estado nutricional,clasificacion c,2004-01-01,4,2,4,2,6
