codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total,mujeres total,total
51302,ACACIO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,116,1,116,117
20201,ACHACACHI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,81,3,81,84
20104,ACHOCALLA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,6,0,6,6
30201,AIQUILE,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,18,27,18,27,45
31303,ALALAY,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,12,3,12,3,15
10404,ALCALA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,52,0,52,52
20202,ANCORAIMES,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,115,0,115,115
41201,ANDAMARCA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,10,3,10,13
40603,ANTEQUERA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,2,0,2,2
20701,APOLO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,9,3,9,3,12
51301,ARAMPAMPA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,25,0,25,25
30501,ARANI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,37,1,37,38
71501,ASCENCION DE GUARAYOS,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,13,0,13,13
50802,ATOCHA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,3,0,3,3
20503,AUCAPATA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,22,5,22,5,27
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,6,84,6,84,90
10201,AZURDUY,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,128,0,128,128
21203,BATALLAS,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,7,1,7,8
80802,BAURES,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,48,0,48,48
41202,BELEN DE ANDAMARCA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,4,0,4,4
50104,BELEN DE URMIRI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,4,13,4,13,17
90104,BELLA FLOR,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,7,1,7,8
60202,BERMEJO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,95,1,95,96
50301,BETANZOS,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,21,315,21,315,336
31501,BOLIVAR,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,53,1,53,54
90103,BOLPEBRA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,6,0,6,6
70707,BOYUIBE,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,13,0,13,13
70703,CABEZAS,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,36,67,36,67,103
20905,CAIROMA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,32,18,32,18,50
51102,"CAIZA ""D""",estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,37,1,37,38
21003,CAJUATA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,39,2,39,41
20303,CALACOTO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,4,2,4,6
21304,CALAMARCA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,28,1,28,29
10701,CAMARGO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,64,3,64,67
10901,CAMATAQUI (C. VILLA ABECIA),estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,25,1,25,26
70706,CAMIRI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,321,3,321,324
30701,CAPINOTA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,8,13,8,13,21
20302,CAQUIAVIRI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,19,1,19,20
40102,CARACOLLO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,64,0,64,64
22001,CARANAVI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,7,114,7,114,121
60302,CARAPARI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,59,3,59,62
50702,CARIPUYO,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,40,0,40,40
40201,CHALLAPATA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,62,3,62,65
50302,CHAQUI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,131,2,131,133
70702,CHARAGUA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,70,138,70,138,208
20305,CHARAÑA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,1,0,1,1
50202,CHAYANTA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,31,174,31,174,205
31204,CHIMORE,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,41,2,41,43
40903,CHIPAYA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,1,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,38,2,38,40
20501,CHUMA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,16,0,16,16
90101,COBIJA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,6,119,6,119,125
30101,COCHABAMBA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,361,385,361,385,746
30905,COLCAPIRHUA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,9,113,9,113,122
50901,"COLCHA ""K""",estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,3,57,3,57,60
31002,COLOMI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,44,2,44,46
70603,COLPA BELGICA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,7,7,7,7,14
50401,COLQUECHACA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,5,128,5,128,133
21306,COLQUENCHA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,1,12,1,12,13
21004,COLQUIRI,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,9,287,9,287,296
20304,COMANCHE,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,15,0,15,15
71301,COMARAPA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,2,14,2,14,16
20605,COMBAYA,estado nutricional en menores de 5 anos,clasificacion d,2001-01-01,0,14,0,14,14
