codigo_municipio,municipio,grupo,variable,mes,hombres,mujeres,hombres total,mujeres total,total
51302,ACACIO,estado nutricional,clasificacion a y b,2004-01-01,8,4,8,4,12
20201,ACHACACHI,estado nutricional,clasificacion a y b,2004-01-01,70,33,70,33,103
20104,ACHOCALLA,estado nutricional,clasificacion a y b,2004-01-01,4,4,4,4,8
30201,AIQUILE,estado nutricional,clasificacion a y b,2004-01-01,34,14,34,14,48
31303,ALALAY,estado nutricional,clasificacion a y b,2004-01-01,0,2,0,2,2
10404,ALCALA,estado nutricional,clasificacion a y b,2004-01-01,7,3,7,3,10
20202,ANCORAIMES,estado nutricional,clasificacion a y b,2004-01-01,12,2,12,2,14
41201,ANDAMARCA,estado nutricional,clasificacion a y b,2004-01-01,1,0,1,0,1
40603,ANTEQUERA,estado nutricional,clasificacion a y b,2004-01-01,4,2,4,2,6
30402,ANZALDO,estado nutricional,clasificacion a y b,2004-01-01,2,0,2,0,2
20701,APOLO,estado nutricional,clasificacion a y b,2004-01-01,29,2,29,2,31
51301,ARAMPAMPA,estado nutricional,clasificacion a y b,2004-01-01,3,2,3,2,5
30501,ARANI,estado nutricional,clasificacion a y b,2004-01-01,16,1,16,1,17
30403,ARBIETO,estado nutricional,clasificacion a y b,2004-01-01,8,3,8,3,11
30601,ARQUE,estado nutricional,clasificacion a y b,2004-01-01,7,0,7,0,7
50802,ATOCHA,estado nutricional,clasificacion a y b,2004-01-01,20,20,20,20,40
20503,AUCAPATA,estado nutricional,clasificacion a y b,2004-01-01,4,0,4,0,4
20502,AYATA,estado nutricional,clasificacion a y b,2004-01-01,2,2,2,2,4
21303,AYO AYO,estado nutricional,clasificacion a y b,2004-01-01,13,8,13,8,21
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,clasificacion a y b,2004-01-01,31,17,31,17,48
10201,AZURDUY,estado nutricional,clasificacion a y b,2004-01-01,24,2,24,2,26
21203,BATALLAS,estado nutricional,clasificacion a y b,2004-01-01,32,3,32,3,35
80802,BAURES,estado nutricional,clasificacion a y b,2004-01-01,11,3,11,3,14
90104,BELLA FLOR,estado nutricional,clasificacion a y b,2004-01-01,6,5,6,5,11
60202,BERMEJO,estado nutricional,clasificacion a y b,2004-01-01,45,6,45,6,51
50301,BETANZOS,estado nutricional,clasificacion a y b,2004-01-01,36,0,36,0,36
31501,BOLIVAR,estado nutricional,clasificacion a y b,2004-01-01,5,0,5,0,5
90103,BOLPEBRA,estado nutricional,clasificacion a y b,2004-01-01,1,0,1,0,1
70707,BOYUIBE,estado nutricional,clasificacion a y b,2004-01-01,5,2,5,2,7
70401,BUENA VISTA,estado nutricional,clasificacion a y b,2004-01-01,4,3,4,3,7
70703,CABEZAS,estado nutricional,clasificacion a y b,2004-01-01,64,30,64,30,94
20905,CAIROMA,estado nutricional,clasificacion a y b,2004-01-01,3,1,3,1,4
51102,"CAIZA ""D""",estado nutricional,clasificacion a y b,2004-01-01,10,0,10,0,10
21003,CAJUATA,estado nutricional,clasificacion a y b,2004-01-01,23,0,23,0,23
20303,CALACOTO,estado nutricional,clasificacion a y b,2004-01-01,1,0,1,0,1
21304,CALAMARCA,estado nutricional,clasificacion a y b,2004-01-01,9,0,9,0,9
